text,final agreed label,is_synthetic
"Ultimately, it's your call whether you want to continue smoking or explore quitting.",Emphasize Autonomy,True
"You're the expert on your own learning style, and only you can decide what approach works best.",Emphasize Autonomy,True
The choice of how you want your relationships to look is entirely up to you.,Emphasize Autonomy,True
"When it comes to your career path, you hold the steering wheel.",Emphasize Autonomy,True
"Your body, your choices about what you put into it.",Emphasize Autonomy,True
Only you can decide what role alcohol plays in your life going forward.,Emphasize Autonomy,True
The power to make these changes resides completely within you.,Emphasize Autonomy,True
It’s your life and your lungs; the decision about quitting is yours alone.,Emphasize Autonomy,True
You get to choose how you prioritize your assignments and study time.,Emphasize Autonomy,True
You are absolutely free to decide what kind of boundaries you set.,Emphasize Autonomy,True
The next step in your professional journey is entirely for you to determine.,Emphasize Autonomy,True
What you choose to eat today and tomorrow is always up to you.,Emphasize Autonomy,True
"Whether you cut back, stop, or continue, that choice belongs to you.",Emphasize Autonomy,True
Nobody can make this change for you; it's your personal journey.,Emphasize Autonomy,True
The timing and method for addressing your smoking are completely in your hands.,Emphasize Autonomy,True
You have the autonomy to shape your academic future however you see fit.,Emphasize Autonomy,True
"Ultimately, you decide who you allow into your inner circle and on what terms.",Emphasize Autonomy,True
You have the freedom to redefine what success looks like in your career.,Emphasize Autonomy,True
The decisions about your nutrition and physical activity are yours to make.,Emphasize Autonomy,True
Your relationship with alcohol is something only you can modify.,Emphasize Autonomy,True
The decision to make a change with your smoking habit is entirely yours.,Emphasize Autonomy,True
Only you can decide how you want to approach improving your study routine.,Emphasize Autonomy,True
You are the expert on your own relationships and what changes feel right for you.,Emphasize Autonomy,True
"Ultimately, your career path and the choices you make about it are in your hands.",Emphasize Autonomy,True
Whether and how you adjust your eating patterns is completely up to you.,Emphasize Autonomy,True
It's your choice alone to decide if and when you want to make a change regarding alcohol.,Emphasize Autonomy,True
No one can force you to change; that power lies solely within you.,Emphasize Autonomy,True
You're in the driver's seat when it comes to deciding your next steps.,Emphasize Autonomy,True
"This is your life, and you get to determine the direction you want it to take.",Emphasize Autonomy,True
"I'm here to support you, but the final decision about your path is always yours.",Emphasize Autonomy,True
You hold the key to deciding if and how you want to approach reducing your cigarette intake.,Emphasize Autonomy,True
What you choose to prioritize in your academic efforts is completely within your control.,Emphasize Autonomy,True
Setting boundaries in your relationships is a personal choice that you have every right to make.,Emphasize Autonomy,True
"You are the one who knows what feels right for your job situation, and your decisions are valid.",Emphasize Autonomy,True
You have complete autonomy over what you choose to put into your body.,Emphasize Autonomy,True
The pace and direction of any changes related to your drinking are entirely up to you.,Emphasize Autonomy,True
Only you can determine the effort you're willing to invest in making a change.,Emphasize Autonomy,True
